prop_to_talk,average_points_TFT,average_points_TFT95
0.548,2.136,2.167
0.549,2.126,2.168
0.55,2.125,2.172
0.551,2.123,2.177
0.552,2.121,2.174
0.553,2.123,2.166
0.554,2.122,2.186
0.555,2.121,2.171
0.556,2.117,2.169
0.557,2.121,2.163
0.558,2.11,2.147
0.559,2.107,2.162
0.56,2.116,2.168
0.561,2.104,2.162
0.562,2.111,2.149
0.563,2.104,2.161
0.564,2.098,2.131
0.565,2.103,2.147
0.566,2.096,2.155
0.567,2.096,2.144
0.568,2.095,2.143
0.569,2.094,2.145
0.57,2.09,2.131
0.571,2.089,2.122
0.572,2.085,2.12
0.573,2.085,2.135
0.574,2.074,2.106
0.575,2.087,2.134
0.576,2.07,2.118
0.577,2.071,2.11
0.578,2.08,2.135
0.579,2.075,2.109
0.58,2.068,2.099
0.581,2.063,2.093
0.582,2.056,2.101
0.583,2.067,2.114
0.584,2.06,2.097
0.585,2.055,2.093
0.586,2.058,2.107
0.587,2.066,2.108
0.588,2.05,2.109
0.589,2.052,2.111
0.59,2.058,2.095
0.591,2.043,2.093
0.592,2.045,2.086
0.593,2.042,2.111
0.594,2.045,2.083
0.595,2.024,2.066
0.596,2.045,2.086
0.597,2.026,2.077
0.598,2.031,2.057
0.599,2.026,2.077
0.6,2.025,2.078
0.601,2.019,2.073
0.602,2.02,2.071
0.603,2.018,2.053
0.604,2.02,2.07
0.605,2.027,2.056
0.606,2.011,2.044
0.607,2.006,2.066
0.608,2.009,2.048
0.609,1.999,2.049
0.61,2.008,2.05
0.611,1.997,2.049
0.612,1.997,2.032
0.613,1.994,2.058
0.614,1.992,2.023
0.615,1.991,2.018
0.616,1.991,2.029
0.617,1.987,2.011
0.618,1.983,2.008
0.619,1.992,2.023
0.62,1.988,2.015
0.621,1.986,2.03
0.622,1.978,2.022
0.623,1.984,2.027
0.624,1.967,2.004
0.625,1.976,2.008
0.626,1.97,1.987
0.627,1.972,2.021
0.628,1.963,2.009
0.629,1.961,1.987
0.63,1.962,2.007
0.631,1.956,1.986
0.632,1.958,1.99
0.633,1.951,1.998
0.634,1.947,1.978
0.635,1.946,1.993
0.636,1.95,1.969
0.637,1.948,1.995
0.638,1.937,1.989
0.639,1.95,2.008
0.64,1.945,1.976
0.641,1.935,1.967
0.642,1.926,1.967
0.643,1.925,1.962
0.644,1.932,1.969
0.645,1.922,1.969
0.646,1.914,1.928
0.647,1.926,1.983
0.648,1.916,1.965
0.649,1.912,1.946
0.65,1.916,1.944
0.651,1.911,1.959
0.652,1.904,1.946
0.653,1.907,1.956
0.654,1.897,1.922
0.655,1.898,1.941
0.656,1.904,1.959
0.657,1.91,1.945
0.658,1.89,1.919
0.659,1.896,1.916
0.66,1.899,1.942
0.661,1.899,1.952
0.662,1.892,1.945
0.663,1.887,1.925
0.664,1.88,1.909
0.665,1.885,1.9
0.666,1.884,1.92
0.667,1.879,1.901
0.668,1.872,1.888
0.669,1.872,1.907
0.67,1.866,1.917
0.671,1.866,1.921
0.672,1.866,1.904
0.673,1.854,1.882
0.674,1.867,1.907
0.675,1.849,1.875
0.676,1.852,1.897
0.677,1.85,1.858
0.678,1.848,1.866
0.679,1.837,1.883
0.68,1.847,1.898
0.681,1.842,1.867
0.682,1.845,1.864
0.683,1.838,1.864
0.684,1.825,1.861
0.685,1.84,1.872
0.686,1.829,1.87
0.687,1.828,1.865
0.688,1.827,1.866
0.689,1.827,1.852
0.69,1.822,1.853
0.691,1.818,1.853
0.692,1.818,1.851
0.693,1.821,1.853
